,city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,population,density,source,military,incorporated,timezone,ranking,zips,id
26546,Pelican,Pelican,AK,Alaska,2105,Hoonah-Angoon,57.9577,-136.2177,87,61.0,polygon,False,True,America/Juneau,3,99832,1840023315
26573,Perryville,Perryville,AK,Alaska,2164,Lake and Peninsula,55.9315,-159.1559,86,2.0,polygon,False,False,America/Anchorage,3,99648,1840023290
26574,Nikolai,Nikolai,AK,Alaska,2290,Yukon-Koyukuk,63.0095,-154.3763,86,7.0,polygon,False,True,America/Anchorage,3,99691,1840023456
26602,Chistochina,Chistochina,AK,Alaska,2261,Valdez-Cordova,62.5921,-144.8135,85,0.0,polygon,False,False,America/Anchorage,3,99586,1840023393
26658,Larsen Bay,Larsen Bay,AK,Alaska,2150,Kodiak Island,57.5404,-154.0056,83,7.0,polygon,False,True,America/Anchorage,3,99624 99615,1840023302
26659,Eagle,Eagle,AK,Alaska,2240,Southeast Fairbanks,64.7813,-141.1979,83,36.0,polygon,False,True,America/Anchorage,3,99738,1840023475
26660,Sleetmute,Sleetmute,AK,Alaska,2050,Bethel,61.6516,-157.1251,83,0.0,polygon,False,False,America/Anchorage,3,99668,1840023346
26661,Hughes,Hughes,AK,Alaska,2290,Yukon-Koyukuk,66.0452,-154.2376,83,10.0,polygon,False,True,America/Anchorage,3,99745,1840023450
26689,Red Dog Mine,Red Dog Mine,AK,Alaska,2188,Northwest Arctic,68.0645,-162.8667,82,0.0,polygon,False,False,America/Nome,3,99752,1840023487
26690,Anvik,Anvik,AK,Alaska,2290,Yukon-Koyukuk,62.6541,-160.214,82,3.0,polygon,False,True,America/Anchorage,3,99558,1840023444
26722,Atka,Atka,AK,Alaska,2016,Aleutians West,52.2301,-174.2133,81,3.0,polygon,False,True,America/Adak,3,99547,1840023262
26752,Whitestone,Whitestone,AK,Alaska,2240,Southeast Fairbanks,64.1528,-145.9061,80,4.0,polygon,False,True,America/Anchorage,3,99737,1840075218
26753,Manley Hot Springs,Manley Hot Springs,AK,Alaska,2290,Yukon-Koyukuk,65.0187,-150.6453,80,0.0,polygon,False,False,America/Anchorage,3,99756,1840023428
26799,Tatitlek,Tatitlek,AK,Alaska,2261,Valdez-Cordova,60.8921,-146.6727,78,4.0,polygon,False,False,America/Anchorage,3,99677,1840023400
26800,Shageluk,Shageluk,AK,Alaska,2290,Yukon-Koyukuk,62.6684,-159.563,78,2.0,polygon,False,True,America/Anchorage,3,99665,1840023459
26840,Levelock,Levelock,AK,Alaska,2164,Lake and Peninsula,59.0683,-156.901,76,1.0,polygon,False,False,America/Anchorage,3,99625,1840023287
26865,Chignik Lagoon,Chignik Lagoon,AK,Alaska,2164,Lake and Peninsula,56.3041,-158.5004,75,2.0,polygon,False,False,America/Anchorage,3,99565,1840023288
26891,Nelson Lagoon,Nelson Lagoon,AK,Alaska,2013,Aleutians East,55.8451,-161.6103,74,0.0,polygon,False,False,America/Anchorage,3,99571,1840023624
26892,Circle,Circle,AK,Alaska,2290,Yukon-Koyukuk,65.7936,-144.1813,74,0.0,polygon,False,False,America/Anchorage,3,99733,1840023435
26962,Halibut Cove,Halibut Cove,AK,Alaska,2122,Kenai Peninsula,59.5744,-151.2296,71,3.0,polygon,False,False,America/Anchorage,3,99603,1840023645
27049,Akhiok,Akhiok,AK,Alaska,2150,Kodiak Island,56.945,-154.2151,68,3.0,polygon,False,True,America/Anchorage,3,99615,1840023300
27071,Platinum,Platinum,AK,Alaska,2050,Bethel,58.978,-161.7185,67,0.0,polygon,False,True,America/Anchorage,3,99651,1840000307
27127,Pilot Point,Pilot Point,AK,Alaska,2164,Lake and Peninsula,57.5585,-157.6798,65,1.0,polygon,False,True,America/Anchorage,3,99649,1840000190
27158,Oscarville,Oscarville,AK,Alaska,2050,Bethel,60.7288,-161.7728,64,9.0,polygon,False,False,America/Anchorage,3,99559,1840023344
27190,Iliamna,Iliamna,AK,Alaska,2164,Lake and Peninsula,59.7957,-154.8698,63,0.0,polygon,False,False,America/Anchorage,3,99606,1840023284
27191,Twin Hills,Twin Hills,AK,Alaska,2070,Dillingham,59.0815,-160.2826,63,1.0,polygon,False,False,America/Anchorage,3,99678,1840023616
27224,Igiugig,Igiugig,AK,Alaska,2164,Lake and Peninsula,59.3056,-155.8738,62,1.0,polygon,False,False,America/Anchorage,3,99613,1840023283
27225,Clark's Point,Clark's Point,AK,Alaska,2070,Dillingham,58.8329,-158.5276,62,7.0,polygon,False,True,America/Anchorage,3,99569,1840023537
27263,Rampart,Rampart,AK,Alaska,2290,Yukon-Koyukuk,65.4087,-149.9915,60,0.0,polygon,False,False,America/Anchorage,3,99767,1840023438
27310,Crown Point,Crown Point,AK,Alaska,2122,Kenai Peninsula,60.4267,-149.3529,58,6.0,polygon,False,False,America/Anchorage,3,99664 99631,1840023617
27386,Hope,Hope,AK,Alaska,2122,Kenai Peninsula,60.8925,-149.6352,55,0.0,polygon,False,False,America/Anchorage,3,99605,1840023405
27454,Gulkana,Gulkana,AK,Alaska,2261,Valdez-Cordova,62.2152,-145.4449,52,0.0,polygon,False,False,America/Anchorage,3,99586 99588,1840023388
27455,Port Alexander,Port Alexander,AK,Alaska,2198,Prince of Wales-Hyder,56.2346,-134.6532,52,5.0,polygon,False,True,America/Sitka,3,99836,1840023638
27483,Chignik Lake,Chignik Lake,AK,Alaska,2164,Lake and Peninsula,56.2631,-158.8049,51,1.0,polygon,False,False,America/Anchorage,3,99548,1840023691
27540,Kasaan,Kasaan,AK,Alaska,2198,Prince of Wales-Hyder,55.5573,-132.4137,48,3.0,polygon,False,True,America/Sitka,3,99919,1840023522
27541,Chenega,Chenega,AK,Alaska,2261,Valdez-Cordova,60.0757,-148.0194,48,0.0,polygon,False,False,America/Anchorage,3,99574,1840137228
27563,Klukwan,Klukwan,AK,Alaska,2105,Hoonah-Angoon,59.3987,-135.8886,47,13.0,polygon,False,False,America/Juneau,3,99827,1840023677
27564,Central,Central,AK,Alaska,2290,Yukon-Koyukuk,65.5213,-144.6409,47,0.0,polygon,False,False,America/Anchorage,3,99730,1840023433
27589,Beaver,Beaver,AK,Alaska,2290,Yukon-Koyukuk,66.383,-147.3219,46,0.0,polygon,False,False,America/Anchorage,3,99724,1840023432
27630,Karluk,Karluk,AK,Alaska,2150,Kodiak Island,57.5845,-154.3255,44,0.0,polygon,False,False,America/Anchorage,3,99615 99608,1840023299
27647,Port Clarence,Port Clarence,AK,Alaska,2180,Nome,65.1108,-166.7683,43,0.0,polygon,False,False,America/Nome,3,99778,1840023578
27648,False Pass,False Pass,AK,Alaska,2013,Aleutians East,54.8416,-163.348,43,0.0,polygon,False,True,America/Nome,3,99583,1840000481
27669,Skwentna,Skwentna,AK,Alaska,2170,Matanuska-Susitna,61.9314,-151.2096,42,0.0,polygon,False,False,America/Anchorage,3,99667,1840023373
27694,Edna Bay,Edna Bay,AK,Alaska,2198,Prince of Wales-Hyder,55.964,-133.6662,41,0.0,polygon,False,True,America/Sitka,3,99921,1840000514
27695,South Naknek,South Naknek,AK,Alaska,2060,Bristol Bay,58.6638,-156.9908,41,0.0,polygon,False,False,America/Anchorage,3,99670,1840023274
27696,Stony River,Stony River,AK,Alaska,2050,Bethel,61.7936,-156.586,41,5.0,polygon,False,False,America/Anchorage,3,99557,1840023347
27719,Sunrise,Sunrise,AK,Alaska,2122,Kenai Peninsula,60.8701,-149.4678,40,1.0,polygon,False,False,America/Anchorage,3,99605,1840023608
27759,Port Protection,Port Protection,AK,Alaska,2198,Prince of Wales-Hyder,56.3293,-133.594,38,3.0,polygon,False,False,America/Sitka,3,99927,1840023686
27760,Dot Lake Village,Dot Lake Village,AK,Alaska,2240,Southeast Fairbanks,63.6622,-144.016,38,3.0,polygon,False,False,America/Anchorage,3,99737,1840023652
27817,Covenant Life,Covenant Life,AK,Alaska,2100,Haines,59.3998,-136.0948,35,0.0,polygon,False,False,America/Juneau,3,99827,1840023668
27861,Excursion Inlet,Excursion Inlet,AK,Alaska,2100,Haines,58.4355,-135.373,33,0.0,polygon,False,False,America/Juneau,3,99827,1840023316
27913,Whale Pass,Whale Pass,AK,Alaska,2198,Prince of Wales-Hyder,56.1053,-133.1244,30,0.0,polygon,False,True,America/Sitka,3,99921,1840023644
27947,Tonsina,Tonsina,AK,Alaska,2261,Valdez-Cordova,61.5617,-145.0656,28,0.0,polygon,False,False,America/Anchorage,3,99573,1840023401
27969,Aleneva,Aleneva,AK,Alaska,2150,Kodiak Island,58.059,-152.9091,27,0.0,polygon,False,False,America/Anchorage,3,99615,1840023649
27990,Mendeltna,Mendeltna,AK,Alaska,2261,Valdez-Cordova,62.1359,-146.5388,26,0.0,polygon,False,False,America/Anchorage,3,99588,1840023682
27991,Kupreanof,Kupreanof,AK,Alaska,2195,Petersburg Borough,56.8089,-132.9889,26,3.0,polygon,False,True,America/Sitka,3,99833,1840023642
27992,Nikolski,Nikolski,AK,Alaska,2016,Aleutians West,53.0133,-168.7536,26,0.0,polygon,False,False,America/Nome,3,99638,1840023259
28012,Eagle Village,Eagle Village,AK,Alaska,2240,Southeast Fairbanks,64.7434,-141.1138,25,0.0,polygon,False,False,America/Anchorage,3,99738,1840023467
28052,Takotna,Takotna,AK,Alaska,2290,Yukon-Koyukuk,62.9823,-156.0841,23,0.0,polygon,False,False,America/Anchorage,3,99627 99675,1840023440
28099,Red Devil,Red Devil,AK,Alaska,2050,Bethel,61.7735,-157.346,21,0.0,polygon,False,False,America/Anchorage,3,99656,1840023345
28110,Pedro Bay,Pedro Bay,AK,Alaska,2164,Lake and Peninsula,59.7822,-154.1236,20,0.0,polygon,False,False,America/Anchorage,3,99647,1840023289
28168,Attu Station,Attu Station,AK,Alaska,2016,Aleutians West,52.8955,173.123,17,0.0,polygon,False,True,America/Adak,3,,1840037663
28186,Ferry,Ferry,AK,Alaska,2068,Denali,64.0496,-148.9205,16,0.0,polygon,False,False,America/Anchorage,3,99760 99743,1840023692
28198,Hyder,Hyder,AK,Alaska,2198,Prince of Wales-Hyder,55.9816,-130.0383,15,0.0,polygon,False,False,America/Sitka,3,99923,1840023524
28220,Lake Minchumina,Lake Minchumina,AK,Alaska,2290,Yukon-Koyukuk,63.798,-152.3448,14,0.0,polygon,False,False,America/Anchorage,3,99757,1840023426
28236,Chicken,Chicken,AK,Alaska,2240,Southeast Fairbanks,64.0878,-141.8283,13,0.0,polygon,False,False,America/Anchorage,3,99732,1840023469
28237,Wiseman,Wiseman,AK,Alaska,2290,Yukon-Koyukuk,67.4371,-150.1334,13,0.0,polygon,False,False,America/Anchorage,3,99701,1840023442
28251,Bettles,Bettles,AK,Alaska,2290,Yukon-Koyukuk,66.9084,-151.5369,12,3.0,polygon,False,True,America/Anchorage,3,99726,1840023445
28252,Elfin Cove,Elfin Cove,AK,Alaska,2105,Hoonah-Angoon,58.1912,-136.3129,12,0.0,polygon,False,False,America/Juneau,3,99825,1840023309
28269,Evansville,Evansville,AK,Alaska,2290,Yukon-Koyukuk,66.9205,-151.4203,11,0.0,polygon,False,False,America/Anchorage,3,99726,1840023546
28270,Stevens Village,Stevens Village,AK,Alaska,2290,Yukon-Koyukuk,66.025,-149.0802,11,0.0,polygon,False,False,America/Anchorage,3,99774,1840023439
28289,Lake Louise,Lake Louise,AK,Alaska,2170,Matanuska-Susitna,62.3131,-146.5625,9,0.0,polygon,False,False,America/Anchorage,3,99588,1840023655
28290,Chase,Chase,AK,Alaska,2170,Matanuska-Susitna,62.4624,-149.9371,9,0.0,polygon,False,False,America/Anchorage,3,99676,1840023369
28291,Kenny Lake,Kenny Lake,AK,Alaska,2261,Valdez-Cordova,61.6644,-144.8662,9,0.0,polygon,False,False,America/Anchorage,3,99573,1840023389
28302,Lime Village,Lime Village,AK,Alaska,2050,Bethel,61.327,-155.3181,8,0.0,polygon,False,False,America/Anchorage,3,99557,1840023337
28303,Ugashik,Ugashik,AK,Alaska,2164,Lake and Peninsula,57.5736,-157.1232,8,0.0,polygon,False,False,America/Anchorage,3,99649,1840023292
28351,Livengood,Livengood,AK,Alaska,2290,Yukon-Koyukuk,65.4817,-148.4171,4,0.0,polygon,False,False,America/Anchorage,3,99790,1840023427
28352,Healy Lake,Healy Lake,AK,Alaska,2240,Southeast Fairbanks,64.0281,-144.633,4,0.0,polygon,False,False,America/Anchorage,3,99706,1840023693
28353,Beluga,Beluga,AK,Alaska,2122,Kenai Peninsula,61.1869,-151.1637,4,0.0,polygon,False,False,America/Anchorage,3,99682,1840023411
28354,Four Mile Road,Four Mile Road,AK,Alaska,2290,Yukon-Koyukuk,64.6045,-149.1222,4,1.0,polygon,False,True,America/Anchorage,3,99760,1840075076
28355,Alatna,Alatna,AK,Alaska,2290,Yukon-Koyukuk,66.5638,-152.8385,4,0.0,polygon,False,False,America/Anchorage,3,99720,1840023430
28365,Birch Creek,Birch Creek,AK,Alaska,2290,Yukon-Koyukuk,66.2686,-145.8698,2,0.0,polygon,False,False,America/Anchorage,3,99730,1840023530
