,city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,population,density,source,military,incorporated,timezone,ranking,zips,id
19943,Coaldale,Coaldale,CO,Colorado,8043,Fremont,38.3563,-105.8155,418,5.0,polygon,False,False,America/Denver,3,81222,1840024643
19953,Manzanola,Manzanola,CO,Colorado,8089,Otero,38.1087,-103.8669,417,566.0,polygon,False,True,America/Denver,3,81058,1840022526
20038,Romeo,Romeo,CO,Colorado,8021,Conejos,37.1718,-105.9854,411,679.0,polygon,False,True,America/Denver,3,81148,1840021577
20088,Mulford,Mulford,CO,Colorado,8045,Garfield,39.4064,-107.166,407,235.0,polygon,False,False,America/Denver,3,81623,1840028592
20104,Blanca,Blanca,CO,Colorado,8023,Costilla,37.4393,-105.5135,406,85.0,polygon,False,True,America/Denver,3,81123,1840021555
20136,Fleming,Fleming,CO,Colorado,8075,Logan,40.6821,-102.8396,404,318.0,polygon,False,True,America/Denver,3,80728,1840021379
20137,Midland,Midland,CO,Colorado,8119,Teller,38.8469,-105.1577,404,90.0,polygon,False,False,America/Denver,3,80814,1840024553
20182,Allenspark,Allenspark,CO,Colorado,8013,Boulder,40.2099,-105.5112,401,12.0,polygon,False,False,America/Denver,3,80540 80510,1840017526
20201,Tabernash,Tabernash,CO,Colorado,8049,Grand,39.9789,-105.8444,400,32.0,polygon,False,False,America/Denver,3,80478,1840018759
20284,Lake City,Lake City,CO,Colorado,8053,Hinsdale,38.0302,-107.3106,394,183.0,polygon,False,True,America/Denver,3,81235,1840021528
20297,Sugarloaf,Sugarloaf,CO,Colorado,8013,Boulder,40.0189,-105.4078,393,69.0,polygon,False,False,America/Denver,3,80302,1840024349
20298,Wiley,Wiley,CO,Colorado,8099,Prowers,38.1554,-102.7193,393,487.0,polygon,False,True,America/Denver,3,81092,1840022523
20339,Alpine,Alpine,CO,Colorado,8105,Rio Grande,37.6877,-106.586,390,143.0,polygon,False,False,America/Denver,3,81154,1840024757
20603,Copper Mountain,Copper Mountain,CO,Colorado,8117,Summit,39.4769,-106.2011,371,4.0,polygon,False,False,America/Denver,3,80443,1840028519
20668,Boone,Boone,CO,Colorado,8101,Pueblo,38.2494,-104.258,367,374.0,polygon,False,True,America/Denver,3,81025,1840021500
21100,Olney Springs,Olney Springs,CO,Colorado,8025,Crowley,38.1663,-103.9445,340,545.0,polygon,False,True,America/Denver,3,81062,1840022510
21207,Dinosaur,Dinosaur,CO,Colorado,8081,Moffat,40.2402,-109.0078,332,158.0,polygon,False,True,America/Denver,3,81610,1840021376
21513,Alma,Alma,CO,Colorado,8093,Park,39.2861,-106.0676,313,278.0,polygon,False,True,America/Denver,3,80420,1840021454
21514,North La Junta,North La Junta,CO,Colorado,8089,Otero,37.9985,-103.5228,313,88.0,polygon,False,False,America/Denver,3,81050,1840024706
21515,City of Creede,City of Creede,CO,Colorado,8079,Mineral,37.8486,-106.9252,313,127.0,polygon,False,True,America/Denver,3,81130,1840074894
21516,Arboles,Arboles,CO,Colorado,8007,Archuleta,37.0201,-107.4222,313,23.0,polygon,False,False,America/Denver,3,81137 81147 81121,1840017646
21608,Louviers,Louviers,CO,Colorado,8035,Douglas,39.4799,-105.0033,307,75.0,polygon,False,False,America/Denver,3,80125 80135 80131,1840017551
21672,Empire,Empire,CO,Colorado,8019,Clear Creek,39.7595,-105.6821,304,437.0,polygon,False,True,America/Denver,3,80438,1840021432
21748,Ovid,Ovid,CO,Colorado,8115,Sedgwick,40.9607,-102.3883,300,743.0,polygon,False,True,America/Denver,3,80744,1840022407
21827,Comanche Creek,Comanche Creek,CO,Colorado,8005,Arapahoe,39.615,-104.3268,295,5.0,polygon,False,True,America/Denver,3,80136,1840038650
21876,Idledale,Idledale,CO,Colorado,8059,Jefferson,39.6688,-105.2432,292,407.0,polygon,False,False,America/Denver,3,80401 80453,1840024368
22065,Red Cliff,Red Cliff,CO,Colorado,8037,Eagle,39.5092,-106.3703,282,463.0,polygon,False,True,America/Denver,3,81649,1840021425
22082,Merino,Merino,CO,Colorado,8075,Logan,40.4836,-103.3535,281,715.0,polygon,False,True,America/Denver,3,80741,1840022405
22083,Peyton,Peyton,CO,Colorado,8041,El Paso,39.033,-104.4904,281,47.0,polygon,False,False,America/Denver,3,80831,1840024554
22188,El Moro,El Moro,CO,Colorado,8071,Las Animas,37.2349,-104.4491,275,9.0,polygon,False,False,America/Denver,3,81082,1840024759
22218,Vineland,Vineland,CO,Colorado,8101,Pueblo,38.2447,-104.4599,273,186.0,polygon,False,False,America/Denver,3,81006,1840024678
22315,Iliff,Iliff,CO,Colorado,8075,Logan,40.7592,-103.0661,268,541.0,polygon,False,True,America/Denver,3,80736,1840021380
22334,Morgan Heights,Morgan Heights,CO,Colorado,8087,Morgan,40.2875,-103.8275,267,361.0,polygon,False,True,America/Denver,3,80701,1840038739
22335,Garden City,Garden City,CO,Colorado,8123,Weld,40.3948,-104.6893,267,913.0,polygon,False,True,America/Denver,3,80631,1840021365
22389,Catherine,Catherine,CO,Colorado,8045,Garfield,39.4017,-107.133,264,118.0,polygon,False,False,America/Denver,3,81623,1840024359
22433,Brookside,Brookside,CO,Colorado,8043,Fremont,38.4135,-105.1909,262,213.0,polygon,False,True,America/Denver,3,81212,1840021493
22471,Hillrose,Hillrose,CO,Colorado,8087,Morgan,40.3245,-103.5222,260,532.0,polygon,False,True,America/Denver,3,80733,1840021404
22509,Eckley,Eckley,CO,Colorado,8125,Yuma,40.1123,-102.4883,258,210.0,polygon,False,True,America/Denver,3,80727,1840021414
22608,Sugar City,Sugar City,CO,Colorado,8025,Crowley,38.2328,-103.6633,253,253.0,polygon,False,True,America/Denver,3,81076,1840022512
22683,Jansen,Jansen,CO,Colorado,8071,Las Animas,37.1581,-104.5501,249,81.0,polygon,False,False,America/Denver,3,81082,1840024761
22684,Jamestown,Jamestown,CO,Colorado,8013,Boulder,40.1179,-105.3916,249,154.0,polygon,False,True,America/Denver,3,80455,1840021416
22685,Cheraw,Cheraw,CO,Colorado,8089,Otero,38.1076,-103.511,249,533.0,polygon,False,True,America/Denver,3,81030 81050,1840022527
22850,Redvale,Redvale,CO,Colorado,8085,Montrose,38.1761,-108.4126,241,19.0,polygon,False,False,America/Denver,3,81431,1840026737
22956,Bethune,Bethune,CO,Colorado,8063,Kit Carson,39.3038,-102.4234,235,560.0,polygon,False,True,America/Denver,3,80805,1840020221
22957,Peetz,Peetz,CO,Colorado,8075,Logan,40.9617,-103.1139,235,406.0,polygon,False,True,America/Denver,3,80747,1840022406
23039,Rico,Rico,CO,Colorado,8033,Dolores,37.6891,-108.0318,231,131.0,polygon,False,True,America/Denver,3,81332,1840021541
23040,Kit Carson,Kit Carson,CO,Colorado,8017,Cheyenne,38.7628,-102.7954,231,152.0,polygon,False,True,America/Denver,3,80825,1840021482
23132,Capulin,Capulin,CO,Colorado,8021,Conejos,37.2819,-106.1051,227,92.0,polygon,False,False,America/Denver,3,81140 81124,1840024788
23174,Phippsburg,Phippsburg,CO,Colorado,8107,Routt,40.2301,-106.9509,225,73.0,polygon,False,False,America/Denver,3,80469,1840024240
23225,Sunshine,Sunshine,CO,Colorado,8013,Boulder,40.0636,-105.3696,223,49.0,polygon,False,False,America/Denver,3,80302,1840028435
23266,Peoria,Peoria,CO,Colorado,8005,Arapahoe,39.6649,-104.1456,221,6.0,polygon,False,False,America/Denver,3,80103,1840024383
23332,Rollinsville,Rollinsville,CO,Colorado,8047,Gilpin,39.9232,-105.5136,218,59.0,polygon,False,False,America/Denver,3,80422,1840024362
23422,Bonanza Mountain Estates,Bonanza Mountain Estates,CO,Colorado,8013,Boulder,39.9768,-105.4797,214,490.0,polygon,False,False,America/Denver,3,80466,1840028528
23442,Seibert,Seibert,CO,Colorado,8063,Kit Carson,39.298,-102.8695,213,239.0,polygon,False,True,America/Denver,3,80834,1840022451
23465,Larkspur,Larkspur,CO,Colorado,8035,Douglas,39.2318,-104.892,212,51.0,polygon,False,True,America/Denver,3,80118,1840021448
23575,Arriba,Arriba,CO,Colorado,8073,Lincoln,39.2843,-103.274,207,160.0,polygon,False,True,America/Denver,3,80804,1840020223
23890,Amherst,Amherst,CO,Colorado,8095,Phillips,40.6831,-102.1727,195,166.0,polygon,False,False,America/Denver,3,80721,1840024283
23929,Elbert,Elbert,CO,Colorado,8039,Elbert,39.2189,-104.5403,193,157.0,polygon,False,False,America/Denver,3,80106,1840026646
24115,East Pleasant View,East Pleasant View,CO,Colorado,8059,Jefferson,39.7279,-105.1572,184,640.0,polygon,False,True,America/Denver,3,80401,1840073909
24116,Ophir,Ophir,CO,Colorado,8113,San Miguel,37.8568,-107.8312,184,302.0,polygon,False,True,America/Denver,3,81426 81435,1840022534
24164,Woody Creek,Woody Creek,CO,Colorado,8097,Pitkin,39.2708,-106.8883,182,114.0,polygon,False,False,America/Denver,3,81656 81611,1840024486
24236,Tall Timber,Tall Timber,CO,Colorado,8013,Boulder,40.0151,-105.3498,179,120.0,polygon,False,False,America/Denver,3,80302,1840028522
24237,Westcreek,Westcreek,CO,Colorado,8035,Douglas,39.1498,-105.1626,179,56.0,polygon,False,False,America/Denver,3,80135,1840018808
24280,Silver Plume,Silver Plume,CO,Colorado,8019,Clear Creek,39.6958,-105.7266,177,264.0,polygon,False,True,America/Denver,3,80476,1840022439
24332,Crowley,Crowley,CO,Colorado,8025,Crowley,38.1935,-103.8598,175,299.0,polygon,False,True,America/Denver,3,81033 81063,1840021502
24333,Jackson Lake,Jackson Lake,CO,Colorado,8087,Morgan,40.3756,-104.0711,175,22.0,polygon,False,True,America/Denver,3,80653,1840038727
24514,Seven Hills,Seven Hills,CO,Colorado,8013,Boulder,40.0361,-105.3323,167,131.0,polygon,False,False,America/Denver,3,80302,1840028523
24558,Rye,Rye,CO,Colorado,8101,Pueblo,37.9215,-104.9322,165,677.0,polygon,False,True,America/Denver,3,81069,1840021501
24655,Ward,Ward,CO,Colorado,8013,Boulder,40.0726,-105.5136,161,108.0,polygon,False,True,America/Denver,3,80481,1840022426
24752,Maysville,Maysville,CO,Colorado,8015,Chaffee,38.5305,-106.2157,157,4.0,polygon,False,False,America/Denver,3,81201,1840024588
24851,Grover,Grover,CO,Colorado,8123,Weld,40.8691,-104.226,153,99.0,polygon,False,True,America/Denver,3,80729,1840021367
24986,Genoa,Genoa,CO,Colorado,8073,Lincoln,39.2782,-103.4984,148,184.0,polygon,False,True,America/Denver,3,80818,1840021451
24987,Trail Side,Trail Side,CO,Colorado,8087,Morgan,40.2493,-103.8432,148,79.0,polygon,False,True,America/Denver,3,80701,1840038822
24988,Florissant,Florissant,CO,Colorado,8119,Teller,38.9445,-105.2901,148,110.0,polygon,False,False,America/Denver,3,80816,1840024551
25014,Snyder,Snyder,CO,Colorado,8087,Morgan,40.3309,-103.592,147,160.0,polygon,False,False,America/Denver,3,80750,1840024302
25040,Weldona,Weldona,CO,Colorado,8087,Morgan,40.3484,-103.9693,146,359.0,polygon,False,False,America/Denver,3,80653,1840024303
25121,Segundo,Segundo,CO,Colorado,8071,Las Animas,37.1225,-104.7396,143,79.0,polygon,False,False,America/Denver,3,81082,1840024763
25150,Brick Center,Brick Center,CO,Colorado,8005,Arapahoe,39.6001,-104.4579,142,9.0,polygon,False,True,America/Denver,3,80102,1840038625
25201,Crestone,Crestone,CO,Colorado,8109,Saguache,37.9946,-105.6962,140,140.0,polygon,False,True,America/Denver,3,81131,1840021509
25241,Bark Ranch,Bark Ranch,CO,Colorado,8013,Boulder,40.1156,-105.4416,138,61.0,polygon,False,False,America/Denver,3,80481,1840028524
25261,Southern Ute,Southern Ute,CO,Colorado,8067,La Plata,37.0749,-107.5933,137,3.0,polygon,False,True,America/Denver,3,81137,1840038805
25262,Sedgwick,Sedgwick,CO,Colorado,8115,Sedgwick,40.9353,-102.5254,137,152.0,polygon,False,True,America/Denver,3,80749,1840022408
25335,Marble,Marble,CO,Colorado,8051,Gunnison,39.0716,-107.191,134,143.0,polygon,False,True,America/Denver,3,81623,1840022468
25422,Pritchett,Pritchett,CO,Colorado,8009,Baca,37.37,-102.8587,131,217.0,polygon,False,True,America/Denver,3,81064,1840021556
25448,Ramah,Ramah,CO,Colorado,8041,El Paso,39.1222,-104.1673,130,203.0,polygon,False,True,America/Denver,3,80832,1840021469
25504,Crisman,Crisman,CO,Colorado,8013,Boulder,40.0416,-105.3675,128,33.0,polygon,False,False,America/Denver,3,80302,1840028436
25505,Black Hawk,Black Hawk,CO,Colorado,8047,Gilpin,39.8043,-105.495,128,18.0,polygon,False,True,America/Denver,3,80427 80422,1840018787
25601,Gold Hill,Gold Hill,CO,Colorado,8013,Boulder,40.0597,-105.4189,124,23.0,polygon,False,False,America/Denver,3,80455 80302,1840017529
25692,Lewis,Lewis,CO,Colorado,8083,Montezuma,37.5017,-108.66,121,15.0,polygon,False,False,America/Denver,3,81327,1840024769
25720,Cokedale,Cokedale,CO,Colorado,8071,Las Animas,37.1443,-104.6215,120,226.0,polygon,False,True,America/Denver,3,81082,1840022545
25747,Moffat,Moffat,CO,Colorado,8109,Saguache,38.002,-105.9048,119,31.0,polygon,False,True,America/Denver,3,81143,1840022516
25770,Hasty,Hasty,CO,Colorado,8011,Bent,38.1063,-102.956,118,129.0,polygon,False,False,America/Denver,3,81044,1840024704
25771,Gerrard,Gerrard,CO,Colorado,8105,Rio Grande,37.6783,-106.5752,118,38.0,polygon,False,False,America/Denver,3,81154,1840024758
25858,Orchard,Orchard,CO,Colorado,8087,Morgan,40.3318,-104.1183,115,277.0,polygon,False,False,America/Denver,3,80649,1840024301
25897,Sedalia,Sedalia,CO,Colorado,8035,Douglas,39.4396,-104.9699,113,32.0,polygon,False,False,America/Denver,3,80135,1840018807
25935,Raymer,Raymer,CO,Colorado,8123,Weld,40.608,-103.8434,112,55.0,polygon,False,True,America/Denver,3,80742,1840021361
25954,Rock Creek Park,Rock Creek Park,CO,Colorado,8041,El Paso,38.7011,-104.8347,111,161.0,polygon,False,False,America/Denver,3,80926,1840028489
26014,Crook,Crook,CO,Colorado,8075,Logan,40.8588,-102.8015,109,312.0,polygon,False,True,America/Denver,3,80726,1840021378
26052,Vilas,Vilas,CO,Colorado,8009,Baca,37.3737,-102.4474,107,323.0,polygon,False,True,America/Denver,3,81087,1840022553
26053,Franktown,Franktown,CO,Colorado,8035,Douglas,39.3906,-104.7486,107,14.0,polygon,False,False,America/Denver,3,80116,1840017552
26139,Vona,Vona,CO,Colorado,8063,Kit Carson,39.3023,-102.7435,104,181.0,polygon,False,True,America/Denver,3,80861,1840022453
26184,Campo,Campo,CO,Colorado,8009,Baca,37.1047,-102.5786,102,272.0,polygon,False,True,America/Denver,3,81029,1840022550
26233,Hooper,Hooper,CO,Colorado,8003,Alamosa,37.746,-105.8777,100,153.0,polygon,False,True,America/Denver,3,81136,1840021548
26283,Mountain Meadows,Mountain Meadows,CO,Colorado,8013,Boulder,40.027,-105.3832,98,21.0,polygon,False,False,America/Denver,3,80302,1840028526
26305,Padroni,Padroni,CO,Colorado,8075,Logan,40.7818,-103.1733,97,46.0,polygon,False,False,America/Denver,3,80745,1840018742
26327,Hoehne,Hoehne,CO,Colorado,8071,Las Animas,37.2815,-104.389,96,11.0,polygon,False,False,America/Denver,3,81082,1840024760
26449,San Acacio,San Acacio,CO,Colorado,8023,Costilla,37.2086,-105.5666,91,27.0,polygon,False,False,America/Denver,3,81151,1840024768
26477,La Junta Gardens,La Junta Gardens,CO,Colorado,8089,Otero,38.0014,-103.5549,90,65.0,polygon,False,False,America/Denver,3,81050,1840024705
26522,Portland,Portland,CO,Colorado,8091,Ouray,38.0892,-107.6952,88,10.0,polygon,False,False,America/Denver,3,81432,1840024696
26523,Kirk,Kirk,CO,Colorado,8125,Yuma,39.6127,-102.592,88,8.0,polygon,False,False,America/Denver,3,80824,1840024320
26554,Divide,Divide,CO,Colorado,8119,Teller,38.945,-105.1619,87,100.0,polygon,False,False,America/Denver,3,80814,1840024550
26640,Saddle Ridge,Saddle Ridge,CO,Colorado,8087,Morgan,40.3134,-103.8023,84,186.0,polygon,False,True,America/Denver,3,80701,1840038781
26667,Atwood,Atwood,CO,Colorado,8075,Logan,40.5503,-103.2746,83,30.0,polygon,False,False,America/Denver,3,80722,1840017496
26668,Sheridan Lake,Sheridan Lake,CO,Colorado,8061,Kiowa,38.4667,-102.2944,83,103.0,polygon,False,True,America/Denver,3,81071,1840022507
26871,Hartman,Hartman,CO,Colorado,8099,Prowers,38.121,-102.2215,75,105.0,polygon,False,True,America/Denver,3,81043 81047,1840021520
26896,Montezuma,Montezuma,CO,Colorado,8117,Summit,39.5815,-105.8676,74,356.0,polygon,False,True,America/Denver,3,80435,1840022435
26942,Branson,Branson,CO,Colorado,8071,Las Animas,37.0156,-103.8839,72,113.0,polygon,False,True,America/Denver,3,81027,1840021544
26943,Redstone,Redstone,CO,Colorado,8097,Pitkin,39.1838,-107.2408,72,63.0,polygon,False,False,America/Denver,3,81623,1840024485
26992,Kim,Kim,CO,Colorado,8071,Las Animas,37.2472,-103.3532,70,71.0,polygon,False,True,America/Denver,3,81049,1840021547
27023,Pitkin,Pitkin,CO,Colorado,8051,Gunnison,38.6088,-106.5149,69,103.0,polygon,False,True,America/Denver,3,81241,1840022470
27052,Haswell,Haswell,CO,Colorado,8061,Kiowa,38.4525,-103.165,68,32.0,polygon,False,True,America/Denver,3,81045,1840021496
27197,Joes,Joes,CO,Colorado,8125,Yuma,39.6559,-102.6785,63,11.0,polygon,False,False,America/Denver,3,80822,1840024319
27339,Lynn,Lynn,CO,Colorado,8071,Las Animas,37.4219,-104.643,57,30.0,polygon,False,False,America/Denver,3,81020,1840024762
27414,Colona,Colona,CO,Colorado,8091,Ouray,38.3274,-107.7795,54,344.0,polygon,False,False,America/Denver,3,81403,1840024695
27415,Starkville,Starkville,CO,Colorado,8071,Las Animas,37.1171,-104.5233,54,285.0,polygon,False,True,America/Denver,3,81082,1840022546
27435,No Name,No Name,CO,Colorado,8045,Garfield,39.5597,-107.293,53,114.0,polygon,False,False,America/Denver,3,81601,1840028585
27461,Smeltertown,Smeltertown,CO,Colorado,8015,Chaffee,38.5523,-106.0085,52,137.0,polygon,False,False,America/Denver,3,81201,1840028464
27462,Laird,Laird,CO,Colorado,8125,Yuma,40.0819,-102.102,52,133.0,polygon,False,False,America/Denver,3,80758,1840024321
27491,Parshall,Parshall,CO,Colorado,8049,Grand,40.0555,-106.1758,51,65.0,polygon,False,False,America/Denver,3,80468,1840024305
27543,Valmont,Valmont,CO,Colorado,8013,Boulder,40.0341,-105.2058,48,68.0,polygon,False,False,America/Denver,3,80301,1840024350
27569,Conejos,Conejos,CO,Colorado,8021,Conejos,37.0872,-106.0161,47,37.0,polygon,False,False,America/Denver,3,81120 81129,1840026862
27700,McCoy,McCoy,CO,Colorado,8037,Eagle,39.9143,-106.7258,41,53.0,polygon,False,False,America/Denver,3,80463,1840024365
27724,Stonewall Gap,Stonewall Gap,CO,Colorado,8071,Las Animas,37.1604,-105.034,40,8.0,polygon,False,False,America/Denver,3,81091,1840028481
27725,Two Buttes,Two Buttes,CO,Colorado,8009,Baca,37.5607,-102.3964,40,62.0,polygon,False,True,America/Denver,3,81084,1840022552
27743,Sawpit,Sawpit,CO,Colorado,8113,San Miguel,37.9947,-108.0022,39,501.0,polygon,False,True,America/Denver,3,81430,1840022535
27744,Eldora,Eldora,CO,Colorado,8013,Boulder,39.9536,-105.578,39,3.0,polygon,False,False,America/Denver,3,80466,1840017527
27745,Goldfield,Goldfield,CO,Colorado,8119,Teller,38.7177,-105.1254,39,106.0,polygon,False,False,America/Denver,3,80860,1840024552
27783,Idalia,Idalia,CO,Colorado,8125,Yuma,39.7029,-102.2938,37,168.0,polygon,False,False,America/Denver,3,80735,1840024318
27820,Piedra,Piedra,CO,Colorado,8053,Hinsdale,37.4418,-107.1685,35,1.0,polygon,False,True,America/Denver,3,81147,1840038747
27840,Maybell,Maybell,CO,Colorado,8081,Moffat,40.5191,-108.0889,34,25.0,polygon,False,False,America/Denver,3,81625 81640,1840024241
27841,Paoli,Paoli,CO,Colorado,8095,Phillips,40.6128,-102.4717,34,44.0,polygon,False,True,America/Denver,3,80746 80731,1840022413
28019,Brandon,Brandon,CO,Colorado,8061,Kiowa,38.4464,-102.4412,25,82.0,polygon,False,False,America/Denver,3,81071,1840024659
28059,Weston,Weston,CO,Colorado,8071,Las Animas,37.146,-104.8683,23,2.0,polygon,False,False,America/Denver,3,81091,1840024765
