,city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,population,density,source,military,incorporated,timezone,ranking,zips,id
12888,Thermal,Thermal,CA,California,6065,Riverside,33.6262,-116.1308,1359,55.0,polygon,False,False,America/Los_Angeles,3,92274,1840025035
12910,Herlong,Herlong,CA,California,6035,Lassen,40.1419,-120.1399,1353,320.0,polygon,True,True,America/Los_Angeles,3,96113,1840024201
12914,Ferndale,Ferndale,CA,California,6023,Humboldt,40.5799,-124.2619,1352,508.0,polygon,False,True,America/Los_Angeles,3,95536,1840020125
12919,Eldridge,Eldridge,CA,California,6097,Sonoma,38.3339,-122.5065,1351,800.0,polygon,False,False,America/Los_Angeles,3,95476 95442,1840017574
12920,Mariposa,Mariposa,CA,California,6043,Mariposa,37.4873,-119.9682,1351,171.0,polygon,False,False,America/Los_Angeles,3,95338,1840017622
12936,Byron,Byron,CA,California,6013,Contra Costa,37.8756,-121.642,1348,79.0,polygon,False,False,America/Los_Angeles,3,94513 94514,1840017611
12969,Lewiston,Lewiston,CA,California,6105,Trinity,40.6969,-122.8225,1340,25.0,polygon,False,False,America/Los_Angeles,3,96052,1840017488
12983,Malaga,Malaga,CA,California,6019,Fresno,36.6816,-119.7318,1337,1884.0,polygon,False,False,America/Los_Angeles,3,93725,1840017634
13114,Mountain Ranch,Mountain Ranch,CA,California,6009,Calaveras,38.2509,-120.5119,1306,12.0,polygon,False,False,America/Los_Angeles,3,95245 95246,1840018864
13132,Woodacre,Woodacre,CA,California,6041,Marin,38.0052,-122.6384,1303,280.0,polygon,False,False,America/Los_Angeles,3,94973,1840018889
13145,Riverdale Park,Riverdale Park,CA,California,6099,Stanislaus,37.6028,-121.0425,1301,345.0,polygon,False,False,America/Los_Angeles,3,95358,1840028351
13148,Walnut Grove,Walnut Grove,CA,California,6067,Sacramento,38.2478,-121.528,1300,49.0,polygon,False,False,America/Los_Angeles,3,95690,1840018847
13198,Tahoe Vista,Tahoe Vista,CA,California,6061,Placer,39.2483,-120.0535,1288,183.0,polygon,False,False,America/Los_Angeles,3,96148 96143,1840018817
13230,Shell Ridge,Shell Ridge,CA,California,6013,Contra Costa,37.906,-122.0345,1281,1150.0,polygon,False,True,America/Los_Angeles,3,94598,1840076228
13242,Dunnigan,Dunnigan,CA,California,6113,Yolo,38.8926,-121.9741,1278,94.0,polygon,False,False,America/Los_Angeles,3,95937,1840024600
13243,Janesville,Janesville,CA,California,6035,Lassen,40.2809,-120.5335,1278,37.0,polygon,False,False,America/Los_Angeles,3,96114,1840025533
13271,Avila Beach,Avila Beach,CA,California,6079,San Luis Obispo,35.1969,-120.7191,1273,80.0,polygon,False,True,America/Los_Angeles,3,93405 93424,1840028073
13336,Gerber,Gerber,CA,California,6103,Tehama,40.0614,-122.1482,1259,524.0,polygon,False,False,America/Los_Angeles,3,96035,1840026519
13370,Santa Margarita,Santa Margarita,CA,California,6079,San Luis Obispo,35.3893,-120.6084,1252,934.0,polygon,False,False,America/Los_Angeles,3,93453,1840024942
13384,Sheridan,Sheridan,CA,California,6061,Placer,38.969,-121.3559,1250,18.0,polygon,False,False,America/Los_Angeles,3,95681 95648,1840024513
13407,Blue Lake,Blue Lake,CA,California,6023,Humboldt,40.8813,-123.9931,1245,810.0,polygon,False,True,America/Los_Angeles,3,95525,1840010232
13422,Berry Creek,Berry Creek,CA,California,6007,Butte,39.6314,-121.4052,1241,8.0,polygon,False,False,America/Los_Angeles,3,95916,1840025563
13449,Mountain Mesa,Mountain Mesa,CA,California,6029,Kern,35.6411,-118.4047,1236,550.0,polygon,False,False,America/Los_Angeles,3,93240,1840019135
13454,Del Rio,Del Rio,CA,California,6099,Stanislaus,37.7432,-121.0091,1235,228.0,polygon,False,False,America/Los_Angeles,3,95356,1840028341
13508,Grayson,Grayson,CA,California,6099,Stanislaus,37.565,-121.1794,1224,2119.0,polygon,False,False,America/Los_Angeles,2,95363,1840017616
13518,Sunnyside-Tahoe City,Sunnyside-Tahoe City,CA,California,6061,Placer,39.1504,-120.1613,1222,139.0,polygon,False,True,America/Los_Angeles,3,96145,1840037346
13519,Airport,Airport,CA,California,6099,Stanislaus,37.6324,-120.9774,1222,821.0,polygon,False,True,America/Los_Angeles,3,95354,1840075978
13616,Saticoy,Saticoy,CA,California,6111,Ventura,34.2819,-119.1452,1201,1236.0,polygon,False,False,America/Los_Angeles,3,93004,1840025001
13627,Redway,Redway,CA,California,6023,Humboldt,40.1209,-123.822,1199,370.0,polygon,False,False,America/Los_Angeles,3,95560,1840018717
13659,Maricopa,Maricopa,CA,California,6029,Kern,35.0516,-119.4054,1192,306.0,polygon,False,True,America/Los_Angeles,3,93252,1840020418
13698,Johnstonville,Johnstonville,CA,California,6035,Lassen,40.3789,-120.5846,1185,54.0,polygon,False,False,America/Los_Angeles,3,96130,1840024202
13744,Laytonville,Laytonville,CA,California,6045,Mendocino,39.6715,-123.4945,1175,84.0,polygon,False,False,America/Los_Angeles,3,95454,1840017534
13780,Newcastle,Newcastle,CA,California,6061,Placer,38.8677,-121.1318,1167,188.0,polygon,False,False,America/Los_Angeles,3,95658,1840024512
13785,Covelo,Covelo,CA,California,6045,Mendocino,39.8025,-123.2499,1165,63.0,polygon,False,False,America/Los_Angeles,3,95428,1840017533
13805,Sea Ranch,Sea Ranch,CA,California,6097,Sonoma,38.7165,-123.4527,1161,27.0,polygon,False,False,America/Los_Angeles,3,95497,1840024621
13818,Squirrel Mountain Valley,Squirrel Mountain Valley,CA,California,6029,Kern,35.6176,-118.4046,1159,248.0,polygon,False,False,America/Los_Angeles,3,93240,1840019131
13836,Monte Rio,Monte Rio,CA,California,6097,Sonoma,38.4683,-123.0147,1156,234.0,polygon,False,False,America/Los_Angeles,3,95462 95486,1840018836
13865,Palo Cedro,Palo Cedro,CA,California,6089,Shasta,40.5511,-122.2363,1151,120.0,polygon,False,False,America/Los_Angeles,3,96073,1840018731
13866,Elkhorn,Elkhorn,CA,California,6053,Monterey,36.8103,-121.7212,1151,92.0,polygon,False,False,America/Los_Angeles,3,93907 95012,1840017683
13872,March ARB,March ARB,CA,California,6065,Riverside,33.8888,-117.2776,1150,37.0,polygon,True,True,America/Los_Angeles,3,92518,1840073926
13901,Big River,Big River,CA,California,6071,San Bernardino,34.1393,-114.3604,1145,40.0,polygon,False,False,America/Los_Angeles,3,92242,1840017798
13902,Castle Hill,Castle Hill,CA,California,6013,Contra Costa,37.8729,-122.0573,1145,607.0,polygon,False,True,America/Los_Angeles,3,94595 94507,1840075652
13909,Pala,Pala,CA,California,6073,San Diego,33.3617,-117.0696,1143,105.0,polygon,False,False,America/Los_Angeles,3,92059,1840028262
13921,Shandon,Shandon,CA,California,6079,San Luis Obispo,35.6536,-120.3831,1141,149.0,polygon,False,False,America/Los_Angeles,3,93461,1840019121
13960,Matheny,Matheny,CA,California,6107,Tulare,36.1707,-119.3516,1134,1022.0,polygon,False,True,America/Los_Angeles,3,93274,1840042276
13967,Mi-Wuk Village,Mi-Wuk Village,CA,California,6109,Tuolumne,38.057,-120.179,1133,157.0,polygon,False,False,America/Los_Angeles,3,95346,1840018879
13987,Inverness,Inverness,CA,California,6041,Marin,38.082,-122.8471,1127,67.0,polygon,False,False,America/Los_Angeles,3,94937 94956,1840017602
13993,Garberville,Garberville,CA,California,6023,Humboldt,40.1003,-123.7948,1126,162.0,polygon,False,False,America/Los_Angeles,3,95542,1840009251
14059,Yosemite Valley,Yosemite Valley,CA,California,6043,Mariposa,37.7407,-119.5779,1110,208.0,polygon,False,True,America/Los_Angeles,3,95389,1840074769
14067,Greenville,Greenville,CA,California,6063,Plumas,40.1336,-120.9454,1108,53.0,polygon,False,False,America/Los_Angeles,3,95947,1840017519
14121,Maxwell,Maxwell,CA,California,6011,Colusa,39.2771,-122.1946,1096,196.0,polygon,False,False,America/Los_Angeles,3,95955,1840024470
14165,Grizzly Flats,Grizzly Flats,CA,California,6017,El Dorado,38.6357,-120.5355,1087,63.0,polygon,False,True,America/Los_Angeles,3,95636,1840042931
14174,Hasley Canyon,Hasley Canyon,CA,California,6037,Los Angeles,34.4817,-118.6665,1085,72.0,polygon,False,True,America/Los_Angeles,3,91384,1840075914
14180,Westhaven-Moonstone,Westhaven-Moonstone,CA,California,6023,Humboldt,41.0447,-124.1023,1084,51.0,polygon,False,True,America/Los_Angeles,3,95570,1840074748
14188,Clay,Clay,CA,California,6067,Sacramento,38.314,-121.1596,1083,61.0,polygon,False,False,America/Los_Angeles,3,95638,1840022491
14190,Parklawn,Parklawn,CA,California,6099,Stanislaus,37.6069,-120.9793,1082,2513.0,polygon,False,True,America/Los_Angeles,2,95358 95307,1840042934
14220,Bolinas,Bolinas,CA,California,6041,Marin,37.9177,-122.7095,1077,71.0,polygon,False,False,America/Los_Angeles,3,94924,1840017601
14231,Plymouth,Plymouth,CA,California,6005,Amador,38.4776,-120.8584,1076,157.0,polygon,False,True,America/Los_Angeles,3,95669,1840020249
14243,Alpaugh,Alpaugh,CA,California,6107,Tulare,35.8876,-119.4873,1074,412.0,polygon,False,False,America/Los_Angeles,3,93201,1840017690
14244,Minkler,Minkler,CA,California,6019,Fresno,36.7277,-119.4587,1074,71.0,polygon,False,False,America/Los_Angeles,3,93657,1840024779
14250,McCloud,McCloud,CA,California,6093,Siskiyou,41.254,-122.136,1072,170.0,polygon,False,False,America/Los_Angeles,3,96057,1840017469
14256,Bradbury,Bradbury,CA,California,6037,Los Angeles,34.1536,-117.9684,1070,210.0,polygon,False,True,America/Los_Angeles,3,91008,1840019232
14277,Boronda,Boronda,CA,California,6053,Monterey,36.6947,-121.6745,1066,717.0,polygon,False,False,America/Los_Angeles,3,93907,1840028335
14293,Wallace,Wallace,CA,California,6009,Calaveras,38.1978,-120.9586,1063,94.0,polygon,False,False,America/Los_Angeles,3,95254,1840018871
14316,Herald,Herald,CA,California,6067,Sacramento,38.2913,-121.2318,1058,51.0,polygon,False,False,America/Los_Angeles,3,95632 95638,1840024626
14357,Upper Lake,Upper Lake,CA,California,6033,Lake,39.1653,-122.9052,1050,240.0,polygon,False,False,America/Los_Angeles,3,95485,1840018805
14358,Santa Susana,Santa Susana,CA,California,6111,Ventura,34.258,-118.6662,1050,364.0,polygon,False,False,America/Los_Angeles,3,93063,1840025000
14369,Lake Riverside,Lake Riverside,CA,California,6065,Riverside,33.5173,-116.8107,1049,55.0,polygon,False,True,America/Los_Angeles,3,92536,1840075921
14415,Beale AFB,Beale AFB,CA,California,6115,Yuba,39.1095,-121.3543,1039,39.0,polygon,True,True,America/Los_Angeles,3,95903,1840073898
14423,Thornton,Thornton,CA,California,6077,San Joaquin,38.231,-121.425,1038,187.0,polygon,False,False,America/Los_Angeles,3,95632 95686,1840026770
14425,Cedar Ridge,Cedar Ridge,CA,California,6109,Tuolumne,38.0661,-120.2737,1037,51.0,polygon,False,False,America/Los_Angeles,3,95370,1840022518
14433,West Park,West Park,CA,California,6019,Fresno,36.7055,-119.8516,1035,223.0,polygon,False,False,America/Los_Angeles,3,93706 93773,1840026842
14461,Lake Don Pedro,Lake Don Pedro,CA,California,6043,Mariposa,37.6461,-120.3367,1030,31.0,polygon,False,True,America/Los_Angeles,3,95369 95329,1840042847
14462,Sultana,Sultana,CA,California,6107,Tulare,36.5464,-119.3359,1030,896.0,polygon,False,False,America/Los_Angeles,3,93666 93618,1840024881
14467,Camanche North Shore,Camanche North Shore,CA,California,6005,Amador,38.2442,-120.9538,1029,170.0,polygon,False,True,America/Los_Angeles,3,95640,1840075644
14476,Teviston,Teviston,CA,California,6107,Tulare,35.929,-119.2783,1027,182.0,polygon,False,True,America/Los_Angeles,3,93256 93219,1840042314
14528,Pasatiempo,Pasatiempo,CA,California,6087,Santa Cruz,37.0035,-122.0265,1018,444.0,polygon,False,False,America/Los_Angeles,3,95060,1840028113
14594,Kernville,Kernville,CA,California,6029,Kern,35.7531,-118.4321,1007,30.0,polygon,False,False,America/Los_Angeles,3,93238,1840017822
14645,Chalfant,Chalfant,CA,California,6051,Mono,37.5105,-118.375,999,13.0,polygon,False,True,America/Los_Angeles,3,93514,1840075653
14654,Mount Hermon,Mount Hermon,CA,California,6087,Santa Cruz,37.0511,-122.0533,998,592.0,polygon,False,False,America/Los_Angeles,3,95066 95041 95018,1840024796
14700,Cohasset,Cohasset,CA,California,6007,Butte,39.9022,-121.7453,990,15.0,polygon,False,False,America/Los_Angeles,3,95973,1840025567
14718,Norris Canyon,Norris Canyon,CA,California,6013,Contra Costa,37.7454,-121.9878,987,103.0,polygon,False,True,America/Los_Angeles,3,94583,1840038347
14766,East Tulare Villa,East Tulare Villa,CA,California,6107,Tulare,36.2035,-119.2821,980,785.0,polygon,False,True,America/Los_Angeles,3,93274,1840042218
14783,Hydesville,Hydesville,CA,California,6023,Humboldt,40.5579,-124.0822,978,50.0,polygon,False,False,America/Los_Angeles,3,95547,1840017486
14784,Tulelake,Tulelake,CA,California,6093,Siskiyou,41.9534,-121.4752,978,921.0,polygon,False,True,America/Los_Angeles,3,96134,1840021318
14799,Whitewater,Whitewater,CA,California,6065,Riverside,33.9356,-116.6873,976,38.0,polygon,False,True,America/Los_Angeles,3,92282,1840028309
14891,Sunol,Sunol,CA,California,6001,Alameda,37.5894,-121.8854,962,13.0,polygon,False,False,America/Los_Angeles,3,94586,1840018915
14939,East Orosi,East Orosi,CA,California,6107,Tulare,36.5481,-119.2599,955,1486.0,polygon,False,False,America/Los_Angeles,3,93647,1840019033
14968,Taft Mosswood,Taft Mosswood,CA,California,6077,San Joaquin,37.9139,-121.2831,951,788.0,polygon,False,True,America/Los_Angeles,3,95206,1840074823
15004,North Edwards,North Edwards,CA,California,6029,Kern,35.0474,-117.8093,944,28.0,polygon,False,False,America/Los_Angeles,3,93523,1840019136
15017,Tuttletown,Tuttletown,CA,California,6109,Tuolumne,38.0003,-120.4503,941,49.0,polygon,False,False,America/Los_Angeles,3,95370,1840024694
