,city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,population,density,source,military,incorporated,timezone,ranking,zips,id
22255,Kenton,Kenton,DE,Delaware,10001,Kent,39.2272,-75.6646,271,593.0,polygon,False,True,America/New_York,3,19938 19955,1840005816
22273,Ardentown,Ardentown,DE,Delaware,10003,New Castle,39.8081,-75.4807,270,472.0,polygon,False,True,America/New_York,3,19810 19703,1840005587
22841,Slaughter Beach,Slaughter Beach,DE,Delaware,10005,Sussex,38.915,-75.309,241,65.0,polygon,False,True,America/New_York,3,19963,1840006084
22953,Little Creek,Little Creek,DE,Delaware,10001,Kent,39.1664,-75.4483,235,913.0,polygon,False,True,America/New_York,3,19901,1840005818
23370,Ardencroft,Ardencroft,DE,Delaware,10003,New Castle,39.8056,-75.4862,216,952.0,polygon,False,True,America/New_York,3,19810,1840005586
23614,Leipsic,Leipsic,DE,Delaware,10001,Kent,39.243,-75.5155,205,266.0,polygon,False,True,America/New_York,3,19977 19901,1840005817
23720,Bethel,Bethel,DE,Delaware,10005,Sussex,38.571,-75.6196,201,176.0,polygon,False,True,America/New_York,3,19931,1840006073
23924,Woodside,Woodside,DE,Delaware,10001,Kent,39.0712,-75.5667,193,527.0,polygon,False,True,America/New_York,3,19943 19904 19980,1840005821
24553,Viola,Viola,DE,Delaware,10001,Kent,39.0429,-75.5714,165,359.0,polygon,False,True,America/New_York,3,19979,1840003807
25084,Henlopen Acres,Henlopen Acres,DE,Delaware,10005,Sussex,38.7257,-75.0849,144,217.0,polygon,False,True,America/New_York,3,19971,1840006067
25654,Farmington,Farmington,DE,Delaware,10001,Kent,38.8699,-75.579,122,647.0,polygon,False,True,America/New_York,3,19950,1840005805
26837,Hartly,Hartly,DE,Delaware,10001,Kent,39.1684,-75.7127,76,518.0,polygon,False,True,America/New_York,3,19953,1840005808
